"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","104","","Artist Database Tests","","guru.qa.test.db.ArtistDbTest","shouldUpdateOnlyBiographyField","Should update only biography field",""
"passed","Sun Apr 26 16:34:10 UTC 2026","Sun Apr 26 16:34:16 UTC 2026","5593","","Web Artist Tests","","guru.qa.test.web.ArtistWebTest","userShouldSeeErrorWhenCreatingArtistWithoutName","Should show error when creating artist without name",""
"passed","Sun Apr 26 16:32:17 UTC 2026","Sun Apr 26 16:32:17 UTC 2026","104","","Geo Database Tests","","guru.qa.test.db.GeoDbTest","shouldCheckCountryExistsByCode","Should check country exists by code",""
"passed","Sun Apr 26 16:32:17 UTC 2026","Sun Apr 26 16:32:17 UTC 2026","162","","Geo Database Tests","","guru.qa.test.db.GeoDbTest","shouldGetCountriesCount","Should get countries count",""
"passed","Sun Apr 26 16:33:19 UTC 2026","Sun Apr 26 16:33:20 UTC 2026","983","","User Integration Tests","","guru.qa.test.integration.UserIntegrationTest","shouldGetUserByUsername","Should get user by username via API",""
"passed","Sun Apr 26 16:33:07 UTC 2026","Sun Apr 26 16:33:08 UTC 2026","476","","Painting Integration Tests","","guru.qa.test.integration.PaintingIntegrationTest","shouldGetPaintingById","Should get painting by id via API",""
"passed","Sun Apr 26 16:34:41 UTC 2026","Sun Apr 26 16:34:46 UTC 2026","4405","","Web Registration Tests","","guru.qa.test.web.RegisterWebTest","userShouldSeeErrorWhenUsernameExists","Should show error when username already exists",""
"passed","Sun Apr 26 16:32:39 UTC 2026","Sun Apr 26 16:32:39 UTC 2026","64","","Painting Database Tests","","guru.qa.test.db.PaintingDbTest","shouldNotFindNonExistentPainting","Should not find non-existent painting",""
"passed","Sun Apr 26 16:32:41 UTC 2026","Sun Apr 26 16:32:41 UTC 2026","306","","User Database Tests","","guru.qa.test.db.UserDbTest","shouldCreateUserWithUniqueUsername","Should create user with unique username",""
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","79","","Geo Database Tests","","guru.qa.test.db.GeoDbTest","shouldCreateAndSaveCountryToDatabase","Should create and save country to database",""
"passed","Sun Apr 26 16:32:17 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","906","","Auth Database Tests","","guru.qa.test.db.AuthDbTest","shouldNotCreateDuplicateUser","Should not create duplicate user",""
"passed","Sun Apr 26 16:32:42 UTC 2026","Sun Apr 26 16:32:43 UTC 2026","208","","Artist Integration Tests","","guru.qa.test.integration.ArtistIntegrationTest","shouldDeleteArtist","Should delete artist via API",""
"passed","Sun Apr 26 16:32:36 UTC 2026","Sun Apr 26 16:32:40 UTC 2026","3968","","User Database Tests","","guru.qa.test.db.UserDbTest","shouldUpdateUserInDatabase","Should update user in database",""
"passed","Sun Apr 26 16:34:23 UTC 2026","Sun Apr 26 16:34:30 UTC 2026","7254","","Web Painting Tests","","guru.qa.test.web.PaintingWebTest","userShouldSeeErrorWhenCreatingPaintingWithoutTitle","Should show error when creating painting without title",""
"passed","Sun Apr 26 16:32:25 UTC 2026","Sun Apr 26 16:32:25 UTC 2026","211","","Museum Database Tests","","guru.qa.test.db.MuseumDbTest","shouldDeleteMuseumFromDatabase","Should delete museum from database",""
"passed","Sun Apr 26 16:33:17 UTC 2026","Sun Apr 26 16:33:18 UTC 2026","1086","","User Integration Tests","","guru.qa.test.integration.UserIntegrationTest","shouldNotCreateDuplicateUser","Should not create duplicate user",""
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","221","","Geo Database Tests","","guru.qa.test.db.GeoDbTest","shouldNotCreateDuplicateCountryByCode","Should not create duplicate country by code",""
"passed","Sun Apr 26 16:33:00 UTC 2026","Sun Apr 26 16:33:00 UTC 2026","73","","Country Integration Tests","","guru.qa.test.integration.CountryIntegrationTest","shouldGetAllCountries","Should get all countries via API",""
"passed","Sun Apr 26 16:34:46 UTC 2026","Sun Apr 26 16:34:49 UTC 2026","3545","","Web Registration Tests","","guru.qa.test.web.RegisterWebTest","userShouldRegisterWithValidData","Should register new user with valid data",""
"passed","Sun Apr 26 16:33:18 UTC 2026","Sun Apr 26 16:33:19 UTC 2026","1099","","User Integration Tests","","guru.qa.test.integration.UserIntegrationTest","shouldVerifyUserExists","Should verify user exists by id and username",""
"passed","Sun Apr 26 16:34:26 UTC 2026","Sun Apr 26 16:34:31 UTC 2026","5136","","Web Registration Tests","","guru.qa.test.web.RegisterWebTest","userShouldSeeErrorWhenPasswordsDoNotMatch","Should show error when passwords do not match",""
"passed","Sun Apr 26 16:32:17 UTC 2026","Sun Apr 26 16:32:17 UTC 2026","109","","Geo Database Tests","","guru.qa.test.db.GeoDbTest","shouldUpdateOnlySpecifiedFields","Should update only specified fields",""
"passed","Sun Apr 26 16:32:56 UTC 2026","Sun Apr 26 16:33:00 UTC 2026","3752","","Country Integration Tests","","guru.qa.test.integration.CountryIntegrationTest","shouldCheckCountryExists","Should check if country exists by id",""
"passed","Sun Apr 26 16:34:00 UTC 2026","Sun Apr 26 16:34:07 UTC 2026","7026","","Web Museum Tests","","guru.qa.test.web.MuseumWebTest","userShouldSeeErrorWhenCreatingMuseumWithoutTitle","Should show error when creating museum without title",""
"passed","Sun Apr 26 16:33:41 UTC 2026","Sun Apr 26 16:33:47 UTC 2026","5773","","Web Login Tests","","guru.qa.test.web.LoginWebTest","userShouldNavigateToRegisterPage","Should navigate to register page",""
"passed","Sun Apr 26 16:33:01 UTC 2026","Sun Apr 26 16:33:01 UTC 2026","99","","Country Integration Tests","","guru.qa.test.integration.CountryIntegrationTest","shouldReturn404ForNonExistentCountry","Should return 404 for non-existent country",""
"passed","Sun Apr 26 16:33:07 UTC 2026","Sun Apr 26 16:33:07 UTC 2026","672","","Painting Integration Tests","","guru.qa.test.integration.PaintingIntegrationTest","shouldUpdatePainting","Should update painting via API",""
"passed","Sun Apr 26 16:32:40 UTC 2026","Sun Apr 26 16:32:40 UTC 2026","269","","User Database Tests","","guru.qa.test.db.UserDbTest","shouldUpdateOnlySpecifiedFields","Should update only specified fields",""
"passed","Sun Apr 26 16:33:17 UTC 2026","Sun Apr 26 16:33:18 UTC 2026","1212","","Museum Integration Tests","","guru.qa.test.integration.MuseumIntegrationTest","shouldUpdateMuseum","Should update museum via API",""
"passed","Sun Apr 26 16:33:09 UTC 2026","Sun Apr 26 16:33:09 UTC 2026","438","","Painting Integration Tests","","guru.qa.test.integration.PaintingIntegrationTest","shouldCreatePaintingWithArtistAndMuseum","Should create painting via API",""
"passed","Sun Apr 26 16:34:06 UTC 2026","Sun Apr 26 16:34:15 UTC 2026","8970","","Web Painting Tests","","guru.qa.test.web.PaintingWebTest","userShouldEditExistingPainting","Should edit existing painting",""
"passed","Sun Apr 26 16:32:17 UTC 2026","Sun Apr 26 16:32:17 UTC 2026","100","","Geo Database Tests","","guru.qa.test.db.GeoDbTest","shouldUpdateCountryInDatabase","Should update country in database",""
"passed","Sun Apr 26 16:32:41 UTC 2026","Sun Apr 26 16:32:41 UTC 2026","105","","User Database Tests","","guru.qa.test.db.UserDbTest","shouldThrowExceptionForNonExistentUserByUsername","Should throw exception for non-existent user by username",""
"passed","Sun Apr 26 16:33:15 UTC 2026","Sun Apr 26 16:33:15 UTC 2026","159","","Museum Integration Tests","","guru.qa.test.integration.MuseumIntegrationTest","shouldReturn404ForNonExistentMuseum","Should return 404 for non-existent museum",""
"passed","Sun Apr 26 16:33:18 UTC 2026","Sun Apr 26 16:33:18 UTC 2026","65","","User Integration Tests","","guru.qa.test.integration.UserIntegrationTest","shouldReturn404ForNonExistentUser","Should return 404 for non-existent user",""
"passed","Sun Apr 26 16:33:41 UTC 2026","Sun Apr 26 16:33:48 UTC 2026","7425","","Web Artist Tests","","guru.qa.test.web.ArtistWebTest","userShouldSeeErrorWhenCreatingArtistWithoutBiography","Should show error when creating artist without biography",""
"passed","Sun Apr 26 16:34:13 UTC 2026","Sun Apr 26 16:34:18 UTC 2026","5491","","Web Museum Tests","","guru.qa.test.web.MuseumWebTest","userShouldOpenMuseumDetails","Should open museum details",""
"passed","Sun Apr 26 16:32:26 UTC 2026","Sun Apr 26 16:32:26 UTC 2026","124","","Museum Database Tests","","guru.qa.test.db.MuseumDbTest","shouldGetAllMuseumsFromDatabase","Should get all museums from database",""
"passed","Sun Apr 26 16:32:42 UTC 2026","Sun Apr 26 16:32:42 UTC 2026","115","","User Database Tests","","guru.qa.test.db.UserDbTest","shouldThrowExceptionForNonExistentUserById","Should throw exception for non-existent user by id",""
"passed","Sun Apr 26 16:32:13 UTC 2026","Sun Apr 26 16:32:17 UTC 2026","3913","","Artist Database Tests","","guru.qa.test.db.ArtistDbTest","shouldNotFindNonExistentArtist","Should not find non-existent artist",""
"passed","Sun Apr 26 16:33:33 UTC 2026","Sun Apr 26 16:33:41 UTC 2026","7737","","Web Artist Tests","","guru.qa.test.web.ArtistWebTest","userShouldSeeErrorWhenCreatingArtistWithoutImage","Should show error when creating artist without image",""
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","35","","Artist Database Tests","","guru.qa.test.db.ArtistDbTest","shouldReadArtistFromDatabase","Should read artist from database",""
"passed","Sun Apr 26 16:32:25 UTC 2026","Sun Apr 26 16:32:25 UTC 2026","128","","Museum Database Tests","","guru.qa.test.db.MuseumDbTest","shouldThrowExceptionForNonExistentMuseum","Should throw exception for non-existent museum",""
"passed","Sun Apr 26 16:34:02 UTC 2026","Sun Apr 26 16:34:10 UTC 2026","7996","","Web Artist Tests","","guru.qa.test.web.ArtistWebTest","userShouldCreateNewArtist","Should create new artist",""
"passed","Sun Apr 26 16:32:42 UTC 2026","Sun Apr 26 16:32:42 UTC 2026","188","","Artist Integration Tests","","guru.qa.test.integration.ArtistIntegrationTest","shouldReturn404ForNonExistentArtist","Should return 404 for non-existent artist",""
"passed","Sun Apr 26 16:34:07 UTC 2026","Sun Apr 26 16:34:13 UTC 2026","5205","","Web Museum Tests","","guru.qa.test.web.MuseumWebTest","userShouldNotFindNonExistentMuseum","Should not find non-existent museum",""
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","152","","Geo Database Tests","","guru.qa.test.db.GeoDbTest","shouldGetAllCountriesFromDatabase","Should get all countries from database",""
"passed","Sun Apr 26 16:34:15 UTC 2026","Sun Apr 26 16:34:23 UTC 2026","7316","","Web Painting Tests","","guru.qa.test.web.PaintingWebTest","userShouldSeeErrorWhenCreatingPaintingWithoutImage","Should show error when creating painting without image",""
"passed","Sun Apr 26 16:32:19 UTC 2026","Sun Apr 26 16:32:19 UTC 2026","230","","Auth Database Tests","","guru.qa.test.db.AuthDbTest","shouldCreateUserWithCorrectPasswordEncoding","Should create user with correct password encoding",""
"passed","Sun Apr 26 16:32:19 UTC 2026","Sun Apr 26 16:32:19 UTC 2026","39","","Auth Database Tests","","guru.qa.test.db.AuthDbTest","shouldGetZeroAuthoritiesForNonExistentUser","Should return zero authorities for non-existent user",""
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","55","","Artist Database Tests","","guru.qa.test.db.ArtistDbTest","shouldUpdateOnlyPhotoField","Should update only photo field",""
"passed","Sun Apr 26 16:34:18 UTC 2026","Sun Apr 26 16:34:25 UTC 2026","6811","","Web Museum Tests","","guru.qa.test.web.MuseumWebTest","userShouldSeeErrorWhenCreatingMuseumWithoutDescription","Should show error when creating museum without description",""
"passed","Sun Apr 26 16:32:42 UTC 2026","Sun Apr 26 16:32:42 UTC 2026","283","","Artist Integration Tests","","guru.qa.test.integration.ArtistIntegrationTest","shouldCheckArtistExists","Should check if artist exists by id",""
"passed","Sun Apr 26 16:32:19 UTC 2026","Sun Apr 26 16:32:19 UTC 2026","334","","Auth Database Tests","","guru.qa.test.db.AuthDbTest","shouldDeleteUserFromAuthDatabase","Should delete user from auth database",""
"passed","Sun Apr 26 16:33:55 UTC 2026","Sun Apr 26 16:34:02 UTC 2026","7095","","Web Artist Tests","","guru.qa.test.web.ArtistWebTest","userShouldOpenArtistDetails","Should open artist details",""
"passed","Sun Apr 26 16:33:08 UTC 2026","Sun Apr 26 16:33:08 UTC 2026","168","","Painting Integration Tests","","guru.qa.test.integration.PaintingIntegrationTest","shouldReturn404ForNonExistentPainting","Should return 404 for non-existent painting",""
"passed","Sun Apr 26 16:32:19 UTC 2026","Sun Apr 26 16:32:20 UTC 2026","283","","Auth Database Tests","","guru.qa.test.db.AuthDbTest","shouldCreateUserWithAuthorities","Should create user with read and write authorities",""
"passed","Sun Apr 26 16:32:26 UTC 2026","Sun Apr 26 16:32:26 UTC 2026","157","","Museum Database Tests","","guru.qa.test.db.MuseumDbTest","shouldCreateAndSaveMuseumToDatabase","Should create and save museum to database",""
"passed","Sun Apr 26 16:33:08 UTC 2026","Sun Apr 26 16:33:09 UTC 2026","550","","Painting Integration Tests","","guru.qa.test.integration.PaintingIntegrationTest","shouldDeletePainting","Should delete painting via API",""
"passed","Sun Apr 26 16:34:32 UTC 2026","Sun Apr 26 16:34:36 UTC 2026","4515","","Web Registration Tests","","guru.qa.test.web.RegisterWebTest","userShouldSeeValidationWhenPasswordEmpty","Should show validation when password is empty",""
"passed","Sun Apr 26 16:32:38 UTC 2026","Sun Apr 26 16:32:39 UTC 2026","149","","Painting Database Tests","","guru.qa.test.db.PaintingDbTest","shouldUpdateOnlySpecifiedFields","Should update only specified fields",""
"passed","Sun Apr 26 16:32:13 UTC 2026","Sun Apr 26 16:32:17 UTC 2026","3953","","Auth Database Tests","","guru.qa.test.db.AuthDbTest","shouldGetNullForNonExistentUserPassword","Should return null for non-existent user password",""
"passed","Sun Apr 26 16:32:26 UTC 2026","Sun Apr 26 16:32:26 UTC 2026","133","","Museum Database Tests","","guru.qa.test.db.MuseumDbTest","shouldUpdateOnlySpecifiedFields","Should update only specified fields",""
"skipped","Sun Apr 26 16:32:45 UTC 2026","Sun Apr 26 16:32:45 UTC 2026","0","","Auth Integration Tests","","guru.qa.test.integration.AuthIntegrationTest","shouldNotRegisterDuplicateUser","Should not register duplicate user",""
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","58","","Artist Database Tests","","guru.qa.test.db.ArtistDbTest","shouldDeleteArtistFromDatabase","Should delete artist from database",""
"passed","Sun Apr 26 16:34:39 UTC 2026","Sun Apr 26 16:34:41 UTC 2026","2147","","Web Registration Tests","","guru.qa.test.web.RegisterWebTest","userShouldSeeValidationWhenUsernameEmpty","Should show validation when username is empty",""
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","72","","Geo Database Tests","","guru.qa.test.db.GeoDbTest","shouldDeleteCountryFromDatabase","Should delete country from database",""
"passed","Sun Apr 26 16:33:25 UTC 2026","Sun Apr 26 16:33:44 UTC 2026","18919","","Web Museum Tests","","guru.qa.test.web.MuseumWebTest","userShouldSeeErrorWhenCreatingMuseumWithoutCity","Should show error when creating museum without city",""
"passed","Sun Apr 26 16:34:00 UTC 2026","Sun Apr 26 16:34:06 UTC 2026","6203","","Web Painting Tests","","guru.qa.test.web.PaintingWebTest","userShouldNotFindNonExistentPainting","Should not find non-existent painting",""
"passed","Sun Apr 26 16:33:40 UTC 2026","Sun Apr 26 16:34:00 UTC 2026","20115","","Web Painting Tests","","guru.qa.test.web.PaintingWebTest","userShouldCreateNewPainting","Should create new painting",""
"passed","Sun Apr 26 16:32:36 UTC 2026","Sun Apr 26 16:32:41 UTC 2026","5115","","Artist Integration Tests","","guru.qa.test.integration.ArtistIntegrationTest","shouldCreateArtist","Should create artist via API",""
"passed","Sun Apr 26 16:32:42 UTC 2026","Sun Apr 26 16:32:42 UTC 2026","176","","Artist Integration Tests","","guru.qa.test.integration.ArtistIntegrationTest","shouldGetArtistById","Should get artist by id via API",""
"skipped","Sun Apr 26 16:32:45 UTC 2026","Sun Apr 26 16:32:45 UTC 2026","0","","Auth Integration Tests","","guru.qa.test.integration.AuthIntegrationTest","shouldRegisterAndLogin","Should register and login in one call",""
"passed","Sun Apr 26 16:33:18 UTC 2026","Sun Apr 26 16:33:33 UTC 2026","14490","","Web Artist Tests","","guru.qa.test.web.ArtistWebTest","userShouldSearchArtistByName","Should search artist by name",""
"skipped","Sun Apr 26 16:32:45 UTC 2026","Sun Apr 26 16:32:45 UTC 2026","0","","Auth Integration Tests","","guru.qa.test.integration.AuthIntegrationTest","shouldNotLoginWithWrongPassword","Should not login with wrong password",""
"passed","Sun Apr 26 16:33:44 UTC 2026","Sun Apr 26 16:33:51 UTC 2026","6969","","Web Museum Tests","","guru.qa.test.web.MuseumWebTest","userShouldSearchMuseumByTitle","Should search museum by title",""
"passed","Sun Apr 26 16:32:26 UTC 2026","Sun Apr 26 16:32:26 UTC 2026","76","","Museum Database Tests","","guru.qa.test.db.MuseumDbTest","shouldNotFindNonExistentMuseum","Should not find non-existent museum",""
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:19 UTC 2026","394","","Auth Database Tests","","guru.qa.test.db.AuthDbTest","shouldCreateUserInAuthDatabase","Should create user in auth database",""
"passed","Sun Apr 26 16:32:41 UTC 2026","Sun Apr 26 16:32:41 UTC 2026","88","","User Database Tests","","guru.qa.test.db.UserDbTest","shouldNotFindNonExistentUserById","Should not find non-existent user by id",""
"passed","Sun Apr 26 16:32:21 UTC 2026","Sun Apr 26 16:32:25 UTC 2026","3542","","Museum Database Tests","","guru.qa.test.db.MuseumDbTest","shouldReadMuseumFromDatabase","Should read museum from database",""
"skipped","Sun Apr 26 16:32:45 UTC 2026","Sun Apr 26 16:32:45 UTC 2026","0","","Auth Integration Tests","","guru.qa.test.integration.AuthIntegrationTest","shouldRegisterUser","Should register new user via API",""
"passed","Sun Apr 26 16:32:42 UTC 2026","Sun Apr 26 16:32:42 UTC 2026","184","","User Database Tests","","guru.qa.test.db.UserDbTest","shouldCreateAndSaveUserToDatabase","Should create and save user to database",""
"passed","Sun Apr 26 16:33:18 UTC 2026","Sun Apr 26 16:33:19 UTC 2026","1217","","Museum Integration Tests","","guru.qa.test.integration.MuseumIntegrationTest","shouldDeleteMuseum","Should delete museum via API",""
"passed","Sun Apr 26 16:32:41 UTC 2026","Sun Apr 26 16:32:41 UTC 2026","97","","User Database Tests","","guru.qa.test.db.UserDbTest","shouldReadUserByIdFromDatabase","Should read user from database by id",""
"passed","Sun Apr 26 16:34:36 UTC 2026","Sun Apr 26 16:34:39 UTC 2026","2859","","Web Registration Tests","","guru.qa.test.web.RegisterWebTest","userShouldSeeValidationWhenPasswordConfirmEmpty","Should show validation when password confirm is empty",""
"passed","Sun Apr 26 16:33:16 UTC 2026","Sun Apr 26 16:33:17 UTC 2026","142","","User Integration Tests","","guru.qa.test.integration.UserIntegrationTest","shouldVerifyUserDoesNotExist","Should verify non-existent user does not exist",""
"passed","Sun Apr 26 16:32:42 UTC 2026","Sun Apr 26 16:32:42 UTC 2026","214","","Artist Integration Tests","","guru.qa.test.integration.ArtistIntegrationTest","shouldUpdateArtist","Should update artist via API",""
"passed","Sun Apr 26 16:32:19 UTC 2026","Sun Apr 26 16:32:19 UTC 2026","49","","Auth Database Tests","","guru.qa.test.db.AuthDbTest","shouldHandleDeleteNonExistentUser","Should handle delete non-existent user without exception",""
"passed","Sun Apr 26 16:32:26 UTC 2026","Sun Apr 26 16:32:26 UTC 2026","199","","Museum Database Tests","","guru.qa.test.db.MuseumDbTest","shouldCreateMuseumWithRandomCountry","Should create museum with random country",""
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","65","","Artist Database Tests","","guru.qa.test.db.ArtistDbTest","shouldUpdateOnlyNameField","Should update only name field",""
"passed","Sun Apr 26 16:32:41 UTC 2026","Sun Apr 26 16:32:42 UTC 2026","96","","User Database Tests","","guru.qa.test.db.UserDbTest","shouldDeleteUserFromDatabase","Should delete user from database",""
"passed","Sun Apr 26 16:34:30 UTC 2026","Sun Apr 26 16:34:36 UTC 2026","6617","","Web Painting Tests","","guru.qa.test.web.PaintingWebTest","userShouldOpenPaintingDetails","Should open painting details",""
"passed","Sun Apr 26 16:32:26 UTC 2026","Sun Apr 26 16:32:26 UTC 2026","122","","Museum Database Tests","","guru.qa.test.db.MuseumDbTest","shouldUpdateMuseumInDatabase","Should update museum in database",""
"passed","Sun Apr 26 16:32:38 UTC 2026","Sun Apr 26 16:32:38 UTC 2026","165","","Painting Database Tests","","guru.qa.test.db.PaintingDbTest","shouldReadPaintingFromDatabase","Should read painting from database",""
"passed","Sun Apr 26 16:32:41 UTC 2026","Sun Apr 26 16:32:41 UTC 2026","298","","User Database Tests","","guru.qa.test.db.UserDbTest","shouldReadUserByUsernameFromDatabase","Should read user from database by username",""
"passed","Sun Apr 26 16:33:00 UTC 2026","Sun Apr 26 16:33:01 UTC 2026","141","","Country Integration Tests","","guru.qa.test.integration.CountryIntegrationTest","shouldGetCountryById","Should get country by id via API",""
"passed","Sun Apr 26 16:32:42 UTC 2026","Sun Apr 26 16:32:42 UTC 2026","130","","User Database Tests","","guru.qa.test.db.UserDbTest","shouldNotFindNonExistentUserByUsername","Should not find non-existent user by username",""
"passed","Sun Apr 26 16:33:15 UTC 2026","Sun Apr 26 16:33:17 UTC 2026","1456","","Museum Integration Tests","","guru.qa.test.integration.MuseumIntegrationTest","shouldCheckMuseumExists","Should check if museum exists by id",""
"passed","Sun Apr 26 16:34:25 UTC 2026","Sun Apr 26 16:34:32 UTC 2026","7018","","Web Museum Tests","","guru.qa.test.web.MuseumWebTest","userShouldCreateNewMuseum","Should create new museum",""
"passed","Sun Apr 26 16:32:39 UTC 2026","Sun Apr 26 16:32:39 UTC 2026","68","","Painting Database Tests","","guru.qa.test.db.PaintingDbTest","shouldCreateAndSavePaintingToDatabase","Should create and save painting to database",""
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","155","","Artist Database Tests","","guru.qa.test.db.ArtistDbTest","shouldGetAllArtistsFromDatabase","Should get all artists from database",""
"passed","Sun Apr 26 16:32:12 UTC 2026","Sun Apr 26 16:32:16 UTC 2026","3877","","Geo Database Tests","","guru.qa.test.db.GeoDbTest","shouldReadCountryByCode","Should read country by code",""
"passed","Sun Apr 26 16:32:19 UTC 2026","Sun Apr 26 16:32:19 UTC 2026","35","","Auth Database Tests","","guru.qa.test.db.AuthDbTest","shouldNotFindNonExistentUser","Should not find non-existent user",""
"passed","Sun Apr 26 16:32:17 UTC 2026","Sun Apr 26 16:32:17 UTC 2026","73","","Geo Database Tests","","guru.qa.test.db.GeoDbTest","shouldNotFindNonExistentCountry","Should not find non-existent country",""
